1,1,平泉县,1
2,1,兴隆县,2
4,2,保定县,3
5,4,test1,1
6,5,瑶海区,1
7,5,庐阳区,2
8,5,蜀山区,3
9,5,包河区,4
10,5,肥东县,5
11,5,肥西县,6
12,5,长丰县,7
13,6,田家庵区,1
14,6,大通区,2
15,6,谢家集区,3
16,6,八公山区,4
17,6,潘集区,5
18,6,凤台县,6
19,7,相山区,1
20,7,杜集区,2
21,7,烈山区,3
22,7,濉溪县,4
23,8,镜湖区,1
24,8,新芜区,2
25,8,马塘区,3
26,8,鸠江区,4
27,8,芜湖县,5
28,8,南陵县,6
29,8,繁昌县,7
30,9,狮子山区,1
31,9,郊区,2
32,9,铜陵县,3
33,9,铜官山区,4
34,10,中市区,1
35,10,东市区,2
36,10,西市区,3
37,10,郊区,4
38,10,怀远县,5
39,10,固镇县,6
40,10,五河县,7
41,11,雨山区,1
42,11,花山区,2
43,11,金家庄区,3
44,11,向山区,4
45,11,当涂县,5
46,12,桐城市,1
47,12,迎江区,2
48,12,大观区,3
49,12,郊区,4
50,12,宿松县,5
51,12,枞阳县,6
52,12,太湖县,7
53,12,怀宁县,8
54,12,岳西县,9
55,12,望江县,10
56,12,潜山县,11
57,13,屯溪区,1
58,13,黄山区,2
59,13,徽州区,3
60,13,休宁县,4
61,13,歙县,5
62,13,祁门县,6
63,13,黟县,7
64,14,萧县,1
65,14,泗县,2
66,14,砀山县,3
67,14,灵壁县,4
68,14,埇桥区,5
69,15,天长市,1
70,15,明光市,2
71,15,全椒县,3
72,15,来安县,4
73,15,定远县,5
74,15,凤阳县,6
75,15,琅琊区,7
76,15,南谯区,8
77,16,居巢区,1
78,16,含山县,2
79,16,无为县,3
80,16,庐江县,4
81,16,和县,5
82,17,宣州区,1
83,17,宁国市,2
84,17,广德县,3
85,17,郎溪县,4
86,17,泾县,5
87,17,旌德县,6
88,17,绩溪县,7
89,18,贵池区,1
90,18,石台县,2
91,18,青阳县,3
92,18,东至县,4
93,19,金安区,1
94,19,裕安区,2
95,19,寿县,3
96,19,霍山县,4
97,19,霍邱县,5
98,19,舒城县,6
99,19,金寨县,7
100,20,界首市,1
101,20,颍州区,2
102,20,颍东区,3
103,20,颍泉区,4
104,20,阜南县,5
105,20,临泉县,6
106,20,太和县,7
107,20,颍上县,8
108,21,谯城区,1
109,21,蒙城县,2
110,21,涡阳县,3
111,21,利辛县,4
112,23,市区（四环内）,1
113,23,市区（四环外）,2
114,23,通州区,3
115,23,石景山区,4
116,23,大兴,5
117,23,房山,6
118,23,昌平,7
119,23,怀柔,8
120,23,顺义,9
121,24,长寿区,1
122,24,綦江县,2
123,24,潼南县,3
124,24,荣昌县,4
125,24,大足县,5
126,24,铜梁县,6
127,24,梁平县,7
128,24,城口县,8
129,24,垫江县,9
130,24,武隆县,10
131,24,丰都县,11
132,24,奉节县,12
133,24,开县,13
134,24,云阳县,14
135,24,忠县,15
136,24,巫溪县,16
137,24,巫山县,17
138,24,黔江区,18
139,24,渝中区,19
140,24,大渡口区,20
141,24,江北区,21
142,24,沙坪坝区,22
143,24,九龙坡区,23
144,24,南岸区,24
145,24,北碚区,25
146,24,万盛区,26
147,24,双桥区,27
148,24,渝北区,28
149,24,巴南区,29
150,24,万州区,30
151,24,涪陵区,31
152,24,江津市,32
153,24,合川市,33
154,24,永川市,34
155,24,南川市,35
156,24,璧山县,36
157,24,石柱土家族自治县,37
158,24,秀山土家族苗族自治县,38
159,24,酉阳土家族苗族自治县,39
160,24,彭水苗族土家族自治县,40
161,25,福清市,1
162,25,长乐市,2
163,25,闽侯县,3
164,25,连江县,4
165,25,平潭县,5
166,25,永泰县,6
167,25,闽清县,7
168,25,罗源县,8
169,25,鼓楼区,9
170,25,台江区,10
171,25,仓山区,11
172,25,马尾区,12
173,25,晋安区,13
174,26,开元区,1
175,26,思明区,2
176,26,鼓浪屿区,3
177,26,杏林区,4
178,26,湖里区,5
179,26,集美区,6
